Sample Name,Reservoir,Date,Date analyzed,Station,Depth,Rep,Dilution,a254,a350,S275-295,S350-400,Sr
F22Jul19_INF_R2,FCR,7/22/2019,2/28/2020,100,0.1,2,1,10.8241,4.1454,2.098570082,1.143664083,1.834953212
F22Jul19_INF_R2_Dil,FCR,7/22/2019,2/28/2020,100,0.1,2,2,10.5938,4.1454,2.094862491,1.120212644,1.870057888
F20Jun19_5_R1,FCR,6/20/2019,2/28/2020,50,5,1,1,10.5938,4.606,2.099911552,1.344513351,1.561837635
F27Jun19_5_R1,FCR,6/27/2019,2/28/2020,50,5,1,1,10.3635,3.6848,2.046494276,0.993344384,2.060206218
F27Jun19_5_R1_Dil,FCR,6/27/2019,2/28/2020,50,5,1,2,10.5938,3.6848,2.017552946,0.950426983,2.122785846
F20Jun19_Surf_R2,FCR,6/20/2019,2/28/2020,50,0.1,2,1,14.5089,4.3757,2.404577103,1.172242143,2.051263144
F20Jun19_Surf_R2_Dil2,FCR,6/20/2019,2/28/2020,50,0.1,2,2,12.4362,3.6848,2.213345881,0.874277502,2.531628546
F20Jun19_Surf_R2_Dil4,FCR,6/20/2019,2/28/2020,50,0.1,2,4,11.9756,3.6848,2.191366523,0.578511709,3.787938066
F27Jun19_SurfR2,FCR,6/27/2019,2/28/2020,50,0.1,2,1,12.6665,3.4545,2.178315318,0.841639508,2.588180923
F27Jun19_SurfR2_Dil,FCR,6/27/2019,2/28/2020,50,0.1,2,2,14.2786,4.1454,2.316123897,1.037705561,2.231966353
F20Jun19_R_R2,FCR,6/20/2019,2/28/2020,,,2,1,12.6665,4.606,2.323115031,1.199053648,1.937457123
F20Jun19_9_R2_Dil,FCR,6/20/2019,2/28/2020,50,9,2,2,12.8968,4.1454,2.320455886,1.142554493,2.030936731
F27Jun19_9_R2,FCR,6/27/2019,2/28/2020,50,9,2,1,11.0544,3.9151,2.198106616,1.111905725,1.976882181
F27Jun19_9_R2_Dil,FCR,6/27/2019,2/28/2020,50,9,2,2,11.9756,4.606,2.281604,1.214402,1.878788
F20Sep19_Surf_R1,FCR,9/20/2019,3/2/2020,50,0.1,1,1,20.4967,7.3696,2.728081348,1.786779657,1.526814645
F20Sep19_Surf_R1_Dil,FCR,9/20/2019,3/2/2020,50,0.1,1,2,20.2664,7.3696,2.713854838,1.786823861,1.518814976
F20Sep19_9_R1,FCR,9/20/2019,3/2/2020,50,9,1,1,6.2181,2.5333,1.552872949,0.742609063,2.091104227
F20Sep19_9_R1_Dil,FCR,9/20/2019,3/2/2020,50,9,1,2,5.9878,2.303,1.464421972,0.569409902,2.571823862
F20Sep19_5_R1,FCR,9/20/2019,3/2/2020,50,5,1,1,43.9873,23.4906,3.63554099,2.977792145,1.22088474
F20Sep19_5R1_Dil2,FCR,9/20/2019,3/2/2020,50,5,1,2,45.1388,23.4906,3.658454535,2.971228153,1.23129371
F20Sep19_5_R1_Dil4,FCR,9/20/2019,3/2/2020,50,5,1,4,35.9268,18.424,3.407109739,2.732828514,1.246733822
F22Jul19_WET_R1,FCR,7/22/2019,3/2/2020,200,0.1,1,1,24.6421,11.7453,2.968483271,2.252290658,1.317984098
F22Jul19_WET_R1_Dil,FCR,7/22/2019,3/2/2020,200,0.1,1,2,24.4118,10.5938,2.915501,2.198637,1.32605
F19Aug19_Surf_R1,FCR,8/19/2019,3/20/2020,50,0.1,1,1,24.6421,9.9029,2.940453573,2.071894645,1.419209988
F27Jun19_100_R2,FCR,6/27/2019,3/20/2020,100,0.1,2,1,7.5999,3.6848,1.83091879,1.10086343,1.663166148
F19Aug19_9m_R1,FCR,8/19/2019,3/20/2020,50,9,1,1,9.4423,5.0666,2.038267802,1.486383663,1.371293195
F19Aug19_5m_R2,FCR,8/19/2019,3/20/2020,50,5,2,1,18.1937,11.9756,2.74979016,2.330369195,1.179980479
F27Jun19_30_R1,FCR,6/27/2019,3/20/2020,30,0.1,1,1,13.5877,4.3757,2.351085195,1.216648974,1.932426891
F27Jun19_200_R2,FCR,6/27/2019,3/20/2020,200,0.1,2,1,16.8119,5.9878,2.617045307,1.56228873,1.675135496
F27Jun19_20_R1,FCR,6/27/2019,3/20/2020,20,0.1,1,1,15.4301,4.3757,2.528589099,1.139212913,2.21959308
F27Jun19_45_R2,FCR,6/27/2019,3/20/2020,45,0.1,2,1,13.5877,3.6848,2.369059,0.966484,2.451214
F22Aug19_20_R1,FCR,8/22/2019,3/23/2020,20,0.1,1,1,26.7148,11.0544,2.999805895,2.173658097,1.38007256
F22Aug19_200_R2,FCR,8/22/2019,3/23/2020,200,0.1,2,1,22.3391,11.515,2.893306247,2.256266726,1.282342293
F22Aug19_30_R1,FCR,8/22/2019,3/23/2020,30,0.1,1,1,23.03,8.2908,2.85988466,1.897762991,1.506976727
F22Aug19_45_R1,FCR,8/22/2019,3/23/2020,45,0.1,1,1,23.03,9.212,2.862890201,2.01286005,1.422299678
F22Aug19_100_R1,FCR,8/22/2019,3/23/2020,100,0.1,1,1,10.5938,4.8363,2.127992765,1.404922973,1.514668638
F22Aug19_5m_R2,FCR,8/22/2019,3/23/2020,50,5,2,1,33.6238,19.8058,3.373669852,2.862705895,1.178489854
F27May19_9m_R1,FCR,5/27/2019,3/23/2020,50,9,1,1,9.4423,4.1454,2.015905998,1.261085433,1.598548319
F6Jun19_Surf_R1,FCR,6/6/2019,3/23/2020,50,0.1,1,1,12.4362,4.1454,2.250952,1.105654,2.035855
F5Aug19_WET_R1,FCR,8/5/2019,7/27/2020,200,0.1,1,1,20.9573,9.4423,2.783851432,2.054276913,1.355149062
F29Jul19_Inf_R1,FCR,7/29/2019,7/27/2020,100,0.1,1,1,11.2847,5.2969,2.207349389,1.511441464,1.460426646
F29Jul19_Wet_R1,FCR,7/29/2019,7/27/2020,200,0.1,1,1,20.0361,9.9029,2.773389991,2.121329805,1.307382749
F2Sep19_Wet_R2,FCR,9/2/2019,7/27/2020,200,0.1,1,1,15.6604,5.9878,2.541155332,1.61348936,1.574943966
F29Apr19_101_R1,FCR,4/29/2019,7/27/2020,101,0.1,1,1,8.7514,2.7636,1.911888152,0.747728386,2.556928676
F29Apr19_50_R1,FCR,4/29/2019,7/27/2020,50,0.1,1,1,9.4423,3.4545,1.958198554,0.941718215,2.07938906
F29Apr19_100_R1,FCR,4/29/2019,7/27/2020,100,0.1,1,1,7.8302,2.7636,1.766653646,0.733223107,2.409435312
F29Apr19_30_R1,FCR,4/29/2019,7/27/2020,30,0.1,1,1,9.9029,3.4545,1.999068,0.975402,2.049481
B30May19_45_R2,BVR,5/30/2019,7/28/2020,45,0.1,2,1,8.0605,3.6848,1.833548791,1.144492352,1.602062947
F30May19_20_R1,FCR,5/30/2019,7/28/2020,20,0.1,1,1,11.7453,4.606,2.241278173,1.287346474,1.741006184
B29Apr19_01_R1,BVR,4/29/2019,7/28/2020,1,0.1,1,1,9.6726,3.4545,1.971530263,0.9261439,2.12875155
F27Jun19_5m_R2,FCR,6/27/2019,7/28/2020,50,5,2,1,13.1271,4.1454,2.390187556,1.193117986,2.00331198
F27Jun19_9m_R1,FCR,6/27/2019,7/28/2020,50,9,1,1,11.515,4.1454,2.305726327,1.212607582,1.901461249
F27Jun19_50_R2,FCR,6/27/2019,7/28/2020,50,0.1,2,1,13.3574,3.6848,2.257615744,0.928555039,2.431321406
B29Apr19_200_R2,BVR,4/29/2019,7/28/2020,200,0.1,2,1,13.3574,6.2181,2.370577212,1.646206703,1.440024031
F2Sep19_Inf_R1,FCR,9/2/2019,7/28/2020,100,0.1,1,1,10.8241,4.3757,2.123988,1.26955,1.673025
F30May19_100_R2,FCR,5/30/2019,7/29/2020,100,0.1,2,1,7.8302,2.7636,1.801362926,0.698024047,2.58066027
F29Apr19_01_R1,FCR,4/29/2019,7/29/2020,1,0.1,1,1,12.4362,5.0666,2.260322497,1.450234485,1.558591056
B29Apr19_20_R1,BVR,4/29/2019,7/29/2020,20,0.1,1,1,9.4423,3.2242,1.940057515,0.858727966,2.259222469
F29Aug19_200_R1,FCR,8/29/2019,7/29/2020,200,0.1,1,1,17.5028,8.5211,2.64365018,1.966372537,1.344429974
F19Aug19_Wet_R2,FCR,8/19/2019,7/29/2020,200,0.1,2,1,22.5694,10.1332,2.848746539,2.098807796,1.357316541
B29Apr19_50_R1,BVR,4/29/2019,7/29/2020,50,0.1,1,1,9.6726,3.2242,1.977584193,0.867491649,2.279657903
F30May19_30_R2,FCR,5/30/2019,7/29/2020,30,0.1,2,1,11.515,3.9151,2.127652708,1.063508126,2.00059845
B30May19_100_R1,BVR,5/30/2019,7/29/2020,100,0.1,1,1,11.515,5.2969,2.205828731,1.47953817,1.490890046
B29Apr19_30_R2,BVR,4/29/2019,7/29/2020,30,0.1,2,1,9.6726,3.2242,1.96062743,0.796521649,2.461486681
B20May19_30_R1,BVR,5/20/2019,7/29/2020,30,0.1,1,1,11.7453,4.606,2.182201798,1.191845886,1.83094293
B30May19_50_R2,BVR,5/30/2019,7/29/2020,50,0.1,2,1,10.5938,3.6848,2.064069287,0.938506691,2.199312277
F29Apr19_20_R1,FCR,4/29/2019,7/29/2020,20,0.1,1,1,11.7453,5.0666,2.199058,1.440041,1.52708
F30May19_99_R2,FCR,5/30/2019,7/30/2020,99,0.1,2,1,8.7514,3.2242,1.912529278,0.85994296,2.224018763
F30May19_101_R2,FCR,5/30/2019,7/30/2020,101,0.1,2,1,8.9817,4.1454,1.942087231,1.235774975,1.571554102
F29Apr19_45_R1,FCR,4/29/2019,7/30/2020,45,0.1,1,1,9.9029,3.6848,1.994370654,1.010863742,1.972937174
B30May19_20_R2,BVR,5/30/2019,7/30/2020,20,0.1,2,1,9.9029,3.4545,1.981512501,0.847432885,2.338253018
F30May19_200_R2,FCR,5/30/2019,7/30/2020,200,0.1,2,1,17.7331,7.3696,2.574225914,1.765012958,1.45847423
B29Apr19_45_R1,BVR,4/29/2019,7/30/2020,45,0.1,1,1,8.9817,2.5333,1.853134091,0.557042822,3.326735428
F29Apr_102_R1,FCR,4/29/2019,7/30/2020,102,0.1,1,1,8.5211,2.5333,1.805531724,0.531562203,3.396651821
F30May19_01_R2,FCR,5/30/2019,7/30/2020,1,0.1,2,1,9.6726,3.4545,1.959288257,0.877857615,2.231897546
B30May19_01_R1,BVR,5/30/2019,7/30/2020,1,0.1,1,1,10.1332,3.6848,2.01294179,0.921369664,2.184727659
F30May19_45_R1,FCR,5/30/2019,7/30/2020,45,0.1,1,1,10.8241,3.4545,2.041564728,0.823230378,2.479943383
B30May19_200_R1,BVR,5/30/2019,7/30/2020,200,0.1,1,1,16.121,7.5999,2.549527539,1.835629915,1.388911522
F30May19_102_R1,FCR,5/30/2019,7/30/2020,102,0.1,1,1,10.1332,3.9151,2.019402944,1.107981432,1.822596378
F29Apr19_99_R1,FCR,4/29/2019,7/30/2020,99,0.1,1,1,7.8302,2.9939,1.751345931,0.724352075,2.417810331
B29Apr19_100_R1,BVR,4/29/2019,7/30/2020,100,0.1,1,1,10.5938,4.8363,2.064241,1.389001,1.486134
B18Jul19_30_R2,BVR,7/18/2019,7/31/2020,30,0.1,2,1,14.5089,6.4484,2.412395621,1.68828197,1.428905635
B19Jul19_200_R2,BVR,7/18/2019,7/31/2020,200,0.1,2,1,22.3391,11.9756,2.919277903,2.325663869,1.255244982
B18Jul19_45_R1,BVR,7/18/2019,7/31/2020,45,0.1,1,1,12.8968,5.7575,2.321390276,1.586628151,1.463096614
B27Jun19_200_R2,BVR,6/27/2019,7/31/2020,200,0.1,2,1,20.4967,8.9817,2.821144981,2.042096277,1.381494601
F27Jun19_102_R1,FCR,6/27/2019,7/31/2020,102,0.1,1,1,12.2059,4.3757,2.345629533,1.245489157,1.883299842
B18Jul19_20_R1,BVR,7/18/2019,7/31/2020,20,0.1,1,1,13.5877,5.2969,2.338705897,1.462571503,1.599036964
F30May19_50_R1,FCR,5/30/2019,7/31/2020,50,0.1,1,1,12.4362,4.1454,2.290566452,1.14169544,2.006285015
B18Jul19_01_R1,BVR,7/18/2019,7/31/2020,1,0.1,1,1,12.4362,4.8363,2.242095235,1.307359968,1.714979264
B18Jul19_100_R1,BVR,7/18/2019,7/31/2020,100,0.1,1,1,15.1998,6.909,2.464597764,1.754795458,1.404492901
B18Jul19_Surf_R1,BVR,7/18/2019,7/31/2020,50,0.1,1,1,12.6665,4.606,2.240919397,1.287026762,1.741159906
B27Jun19_50_R1,BVR,6/27/2019,7/31/2020,50,0.1,1,1,10.5938,3.6848,2.059993,1.071126,1.923204
F27Jun19_01_R2,FCR,6/27/2019,8/1/2020,1,0.1,2,1,11.0544,3.6848,2.094763216,1.054750815,1.986026639
B27Jun19_30_R1,BVR,6/27/2019,8/1/2020,30,0.1,1,1,11.9756,4.3757,2.187217724,1.220096196,1.792660064
B27Jun19_45_R1,BVR,6/27/2019,8/1/2020,45,0.1,1,1,10.8241,3.9151,2.072597075,1.111982151,1.863876208
F27Jun19_99_R2,FCR,6/27/2019,8/1/2020,99,0.1,2,1,8.0605,2.7636,1.781550078,0.738844239,2.411266114
F27Jun19_101_R2,FCR,6/27/2019,8/1/2020,101,0.1,2,1,7.8302,2.5333,1.757037391,0.703642487,2.497059833
B27Jun19_20_R1,BVR,6/27/2019,8/1/2020,20,0.1,1,1,10.3635,3.4545,2.015297317,0.925158473,2.178326606
B27Jun19_01_R1,BVR,6/27/2019,8/1/2020,1,0.1,1,1,10.8241,3.4545,2.05694254,0.926920362,2.219114634
B27Jun19_100_R1,BVR,6/27/2019,8/1/2020,100,0.1,1,1,13.1271,5.7575,2.294463,1.651143,1.389621
F18Jul19_200_R1,FCR,7/18/2019,8/4/2020,200,0.1,1,1,23.03,11.515,2.875285403,2.234684725,1.286662665
F18Jul19_01_R1,FCR,7/18/2019,8/4/2020,1,0.1,1,1,14.2786,6.4484,2.411393078,1.684765759,1.431292787
F19Aug19_Inf_R1,FCR,8/19/2019,8/4/2020,100,0.1,1,1,11.515,4.8363,2.193177984,1.382037917,1.586915928
F18Jul19_20_R2,FCR,7/18/2019,8/4/2020,20,0.1,2,1,19.3452,7.1393,2.666422193,1.705733243,1.563211718
F18Jul19_99_R1,FCR,7/18/2019,8/4/2020,99,0.1,1,1,11.7453,5.0666,2.216353207,1.371961072,1.615463625
F18Jul19_45_R1,FCR,7/18/2019,8/4/2020,45,0.1,1,1,19.3452,6.909,2.69297565,1.620840579,1.661468552
F18Jul19_Surf_R1,FCR,7/18/2019,8/4/2020,50,0.1,1,1,20.2664,7.8302,2.736076812,1.765801066,1.549481912
F18Ju19_102_R1,FCR,7/18/2019,8/4/2020,102,0.1,1,1,4.1454,2.5333,1.25461982,0.840505537,1.492696675
F18Jul19_101_R2,FCR,7/18/2019,8/4/2020,101,0.1,2,1,11.7453,4.8363,2.206675045,1.279989666,1.723978798
F18Jul19_100_R2,FCR,7/18/2019,8/4/2020,100,0.1,2,1,10.1332,3.6848,2.017103741,0.957509868,2.106614049
F5Aug19_Inf_R1,FCR,8/5/2019,8/4/2020,100,0.1,1,1,11.515,4.3757,2.168166125,1.235131453,1.755413256
F18Jul19_30_R1,FCR,7/18/2019,8/4/2020,30,0.1,1,1,18.424,5.9878,2.594756902,1.415969377,1.832495069
B22Aug19_50_R2,BVR,8/22/2019,8/4/2020,50,0.1,2,1,14.5089,5.9878,2.421594,1.566054,1.546303
F22Aug19_101_R2,FCR,8/22/2019,8/5/2020,101,0.1,2,1,11.9756,4.606,2.243238,1.223582,1.833337
F22Aug19_9m_R1,FCR,8/22/2019,8/5/2020,50,9,1,1,25.7936,15.4301,3.10120279,2.58391082,1.2001973
B22Aug19_200_R1,BVR,8/22/2019,8/5/2020,200,0.1,1,1,18.424,8.0605,2.672418564,1.889316037,1.41448996
F22Aug19_50_R2,FCR,8/22/2019,8/5/2020,50,0.1,2,1,23.03,7.3696,2.837159146,1.652865803,1.716509073
F22Aug19_01_R2,FCR,8/22/2019,8/5/2020,1,0.1,2,1,12.2059,4.1454,2.208025626,1.160750593,1.902239498
B22Aug19_100_R2,BVR,8/22/2019,8/5/2020,100,0.1,2,1,13.818,5.9878,2.35855345,1.563418716,1.508587192
F22Aug19_99_R1,FCR,8/22/2019,8/5/2020,99,0.1,1,1,11.515,4.3757,2.163458353,1.210554998,1.787162381
B22Aug19_20_r1,BVR,8/22/2019,8/5/2020,20,0.1,1,1,14.0483,4.606,2.327614342,1.228758975,1.894280644
F22Aug19_102_R1,FCR,8/22/2019,8/5/2020,102,0.1,1,1,5.5272,3.4545,1.559670373,1.170044693,1.333000681
B22Aug19_01_R1,BVR,8/22/2019,8/5/2020,1,0.1,1,1,13.5877,4.606,2.291667888,1.1887424,1.927808655
B22Aug19_30_R2,BVR,8/22/2019,8/5/2020,30,0.1,2,1,14.0483,5.0666,2.348826811,1.318049808,1.782047079
B22Aug19_45_r1,BVR,8/22/2019,8/5/2020,45,0.1,1,1,13.3574,4.3757,2.283752,1.146935,1.991179
F04Oct19_45_R2,FCR,10/4/2019,8/7/2020,45,0.1,2,1,24.6421,9.6726,2.920752728,2.101219787,1.390027234
F19Mar20_200_R1,FCR,3/19/2020,8/7/2020,200,0.1,1,1,19.8058,8.9817,2.752202437,2.006210935,1.37184101
F04Oct19_200_R2,FCR,10/4/2019,8/7/2020,200,0.1,2,1,23.4906,11.7453,2.935678018,2.30910689,1.271347823
B04Oct19_100_R1,BVR,10/4/2019,8/7/2020,100,0.1,1,1,16.3513,7.8302,2.572381751,1.871645344,1.374395934
F19Mar20_45_R1,FCR,3/19/2020,8/7/2020,45,0.1,1,1,15.6604,5.5272,2.469637787,1.489315972,1.658236287
F04Oct19_20_R2,FCR,10/4/2019,8/7/2020,20,0.1,2,1,23.03,8.9817,2.84542341,1.980477082,1.436736348
F04Oct19_01_R2,FCR,10/4/2019,8/7/2020,1,0.1,2,1,8.0605,3.2242,1.800170498,0.978249501,1.840195671
F04OCt19_100_R2,FCR,10/4/2019,8/7/2020,100,0.1,2,1,14.9695,6.2181,2.461432355,1.654883195,1.487375279
B04Oct19_30_R2,BVR,10/4/2019,8/7/2020,30,0.1,2,1,17.0422,5.7575,2.544849582,1.460583521,1.74235129
F19Mar20_30_R2,FCR,3/19/2020,8/7/2020,30,0.1,2,1,14.7392,4.606,2.368661938,1.211072973,1.955837501
B04Oct19_20_R2,BVR,10/4/2019,8/7/2020,20,0.1,2,1,16.8119,5.5272,2.505903356,1.383129858,1.811762896
B30Mar20_01_R2,BVR,3/30/2020,8/7/2020,1,0.1,2,1,12.8968,4.606,2.266312603,1.263020145,1.794359822
B30Mar20_20_R1,BVR,3/30/2020,8/7/2020,20,0.1,1,1,12.4362,4.3757,2.217215,1.185358,1.870503
F04Oct19_101_R2,FCR,10/4/2019,8/8/2020,101,0.1,2,1,16.5816,8.5211,2.669001482,2.01084642,1.327302501
B18Jul19_100_R2,BVR,7/18/2019,8/8/2020,100,0.1,2,1,16.121,7.8302,2.577669669,1.905185405,1.352975759
F04Oct19_99_R1,FCR,10/4/2019,8/8/2020,99,0.1,1,1,11.2847,3.9151,2.150443337,1.107873819,1.941054388
B04Oct19_50_R1,BVR,10/4/2019,8/8/2020,50,0.1,1,1,16.8119,5.5272,2.521707407,1.374372353,1.834806558
F04Oct19_5m_R2,FCR,10/4/2019,8/8/2020,50,5,2,1,35.0056,17.7331,3.364223787,2.725874485,1.234181473
F04Oct19_Surf_R1,FCR,10/4/2019,8/8/2020,50,0.1,1,1,23.4906,8.5211,2.858605025,1.929773543,1.481316311
B04Oct19_200_R1,BVR,10/4/2019,8/8/2020,200,0.1,1,1,9.9029,4.1454,2.027223472,1.213282303,1.670858848
F04Oct19_30_R2,FCR,10/4/2019,8/8/2020,30,0.1,2,1,22.5694,7.1393,2.796248034,1.68242675,1.662032558
F04Oct19_102_R2,FCR,10/4/2019,8/8/2020,102,0.1,2,1,6.2181,3.6848,1.72669302,1.219577175,1.415812837
B04Oct19_45_R2,BVR,10/4/2019,8/8/2020,45,0.1,2,1,16.8119,5.5272,2.512941127,1.372349133,1.831123777
B04Oct19_01_R2,BVR,10/4/2019,8/8/2020,1,0.1,2,1,17.0422,5.7575,2.546301,1.431043,1.779332
F19Mar20_99_R2,FCR,3/19/2020,8/10/2020,99,0.1,2,1,13.818,5.5272,2.36472019,1.543208029,1.532340517
B30mar20_50_R2,BVR,3/30/2020,8/10/2020,50,0.1,2,1,14.7392,5.9878,2.411832076,1.569899099,1.53629751
F19Mar20_101_R2,FCR,3/19/2020,8/10/2020,101,0.1,2,1,12.6665,5.0666,2.281052351,1.401192658,1.627936271
F19Mar20_20_R2,FCR,3/19/2020,8/10/2020,20,0.1,2,1,16.5816,5.9878,2.530154111,1.602853861,1.578530753
B30Mar20_30_R2,BVR,3/30/2020,8/10/2020,30,0.1,2,1,14.5089,5.9878,2.391378572,1.503965973,1.590048322
F19Mar20_102_R2,FCR,3/19/2020,8/10/2020,102,0.1,2,1,5.5272,2.7636,1.4130978,0.895395749,1.578182387
F19Mar20_100_R1,FCR,3/19/2020,8/10/2020,100,0.1,1,1,15.1998,6.4484,2.480352188,1.695968441,1.462499024
B30Mar20_200_R1,BVR,3/30/2020,8/10/2020,200,0.1,1,1,14.7392,6.4484,2.459720155,1.697183162,1.449295638
F19Mar20_01_R2,FCR,3/19/2020,8/10/2020,1,0.1,2,1,13.5877,4.3757,2.306216376,1.137461617,2.027511383
B30Mar20_45_R2,BVR,3/30/2020,8/10/2020,45,0.1,2,1,14.0483,4.8363,2.33726743,1.287224146,1.815742376
B30mar20_100_R2,BVR,3/30/2020,8/10/2020,100,0.1,2,1,11.2847,5.5272,2.202461096,1.545648693,1.424942877
F30Mar20_50_R2,FCR,3/30/2020,8/10/2020,50,0.1,2,1,15.6604,5.2969,2.4499621,1.359827124,1.801671739
F04Oct19_9m_R2,FCR,10/4/2019,8/10/2020,50,9,2,1,6.6787,2.5333,1.604805,0.759391,2.113279
B20Sep19_30_R2,BVR,9/20/2019,10/28/2020,30,0.1,2,1,15.8907,5.7575,2.702038,0.784501,3.444277
F20Sep19_20_R1,FCR,9/20/2019,10/28/2020,20,0.1,1,1,21.8785,8.0605,3.016723,1.863633,1.618732
B20Sep19_01_R2,BVR,9/20/2019,10/28/2020,1,0.1,2,1,15.6604,5.5272,2.68813,1.453309,1.849662
B20Sep19_45_R1,BVR,9/20/2019,10/28/2020,45,0.1,1,1,15.1998,5.7575,2.656537,1.516144,1.752167
F20Sep19_100_R1,FCR,9/20/2019,10/28/2020,100,0.1,1,1,12.4362,5.5272,2.453767,1.5489,1.5842
B20Sep19_50_R1,BVR,9/20/2019,10/28/2020,50,0.1,1,1,14.5089,4.8363,2.609234,1.305791,1.998202
B20Sep19_20_R2,BVR,9/20/2019,10/28/2020,20,0.1,2,1,15.8907,5.5272,2.704233,1.475082,1.833276
F20Sep19_30_R2,FCR,9/20/2019,10/28/2020,30,0.1,2,1,17.9634,5.2969,2.820382,1.382639,2.039854
F20Sep19_45_R1,FCR,9/20/2019,10/28/2020,45,0.1,1,1,22.3391,8.0605,3.039779,1.842,1.65026
F12Aug19_Surf_R2,FCR,8/12/2019,10/28/2020,50,0.1,2,1,22.7997,7.5999,3.06294,1.729347,1.771154
F12Aug19_5m_R1,FCR,8/12/2019,10/28/2020,50,5,1,1,14.0483,7.8302,2.586218,1.944053,1.330323
F12Aug19_9m_R2,FCR,8/12/2019,10/28/2020,50,9,2,1,9.9029,4.606,2.228464,1.398086,1.59394
F5Aug19_9m_R2,FCR,8/5/2019,10/28/2020,50,9,2,1,46.5206,28.0966,3.811764,3.203813,1.189759
