i,Sample_Label,Reservoir,Date,Station,Depth,Rep,Fmax1,Fmax1_perc,Fmax2,Fmax2_perc,Fmax3,Fmax3_perc,Fmax4,Fmax4_perc
92,'p_B29Apr19_01_R1.csv',BVR,4/29/2019,1,0.1,1,0.33,31.18,0.36,34.20,0.17,15.98,0.20,18.64
95,'p_B29Apr19_20_R1.csv',BVR,4/29/2019,20,0.1,1,0.31,32.37,0.36,37.21,0.11,10.96,0.19,19.46
96,'p_B29Apr19_30_R2.csv',BVR,4/29/2019,30,0.1,2,0.32,34.15,0.38,39.74,0.05,5.56,0.19,20.55
97,'p_B29Apr19_45_R1.csv',BVR,4/29/2019,45,0.1,1,0.31,35.45,0.36,40.87,0.04,5.04,0.16,18.64
98,'p_B29Apr19_50_R1.csv',BVR,4/29/2019,50,0.1,1,0.31,33.92,0.36,39.73,0.07,8.04,0.17,18.30
93,'p_B29Apr19_100_R1.csv',BVR,4/29/2019,100,0.1,1,0.39,36.01,0.23,20.71,0.36,32.94,0.11,10.34
94,'p_B29Apr19_200_R2.csv',BVR,4/29/2019,200,0.1,2,0.45,29.87,0.51,33.96,0.27,18.19,0.27,17.98
201,'p_F29Apr19_01_R1.csv',FCR,4/29/2019,1,0.1,1,0.46,32.84,0.47,34.01,0.26,18.97,0.20,14.17
206,'p_F29Apr19_20_R1.csv',FCR,4/29/2019,20,0.1,1,0.43,34.34,0.42,33.76,0.22,17.87,0.18,14.02
207,'p_F29Apr19_30_R1.csv',FCR,4/29/2019,30,0.1,1,0.43,39.58,0.42,38.56,0.08,7.49,0.16,14.38
208,'p_F29Apr19_45_R1.csv',FCR,4/29/2019,45,0.1,1,0.42,40.28,0.42,40.56,0.09,8.35,0.11,10.81
209,'p_F29Apr19_50_R1.csv',FCR,4/29/2019,50,0.1,1,0.42,39.51,0.41,38.60,0.09,8.48,0.14,13.42
210,'p_F29Apr19_99_R1.csv',FCR,4/29/2019,99,0.1,1,0.32,36.65,0.30,35.03,0.11,12.25,0.14,16.07
202,'p_F29Apr19_100_R1.csv',FCR,4/29/2019,100,0.1,1,0.33,37.53,0.29,33.59,0.09,9.83,0.17,19.06
203,'p_F29Apr19_101_R1.csv',FCR,4/29/2019,101,0.1,1,0.34,29.62,0.31,27.10,0.15,12.75,0.35,30.54
204,'p_F29Apr19_102_R1.csv',FCR,4/29/2019,102,0.1,1,0.30,35.20,0.33,39.14,0.06,6.48,0.16,19.19
205,'p_F29Apr19_200_R1.csv',FCR,4/29/2019,200,0.1,1,0.66,36.95,0.56,31.20,0.42,23.45,0.15,8.41
158,'p_F20May19_0.1mR2.csv',FCR,5/20/2019,50,0.1,2,0.39,32.42,0.43,35.72,0.21,17.68,0.17,14.18
159,'p_F20May19_5.0mR2.csv',FCR,5/20/2019,50,5,2,0.41,34.02,0.47,39.29,0.09,7.78,0.23,18.91
160,'p_F20May19_9.0mR2.csv',FCR,5/20/2019,50,9,2,0.37,31.67,0.45,38.13,0.14,11.98,0.21,18.21
9,'p_20190909_F27May19_0.1mR1.csv',FCR,5/27/2019,50,0.1,1,0.36,36.50,0.43,42.69,0.12,12.22,0.09,8.59
10,'p_20190909_F27May19_5mR1.csv',FCR,5/27/2019,50,5,1,0.41,37.11,0.49,43.76,0.13,11.29,0.09,7.84
199,'p_F27May19_9m_R1.csv',FCR,5/27/2019,50,9,1,0.41,31.97,0.49,38.34,0.14,10.59,0.24,19.10
11,'p_20190909_F27May19_9mR2_50Dil.csv',FCR,5/27/2019,50,9,2,0.73,36.59,0.85,42.82,0.24,11.97,0.17,8.62
106,'p_B30May19_01_R1.csv',BVR,5/30/2019,1,0.1,1,0.30,30.35,0.37,37.49,0.12,12.58,0.19,19.58
109,'p_B30May19_20_R2.csv',BVR,5/30/2019,20,0.1,2,0.30,30.23,0.38,38.40,0.11,10.56,0.21,20.81
110,'p_B30May19_30_R1.csv',BVR,5/30/2019,30,0.1,1,0.33,28.76,0.42,36.53,0.15,13.08,0.25,21.63
111,'p_B30May19_45_R2.csv',BVR,5/30/2019,45,0.1,2,0.19,23.83,0.23,27.98,0.21,26.06,0.18,22.13
112,'p_B30May19_50_R2.csv',BVR,5/30/2019,50,1,2,0.30,29.94,0.37,37.10,0.10,10.05,0.23,22.90
107,'p_B30May19_100_R1.csv',BVR,5/30/2019,100,0.1,1,0.55,42.47,0.40,31.04,0.22,16.98,0.12,9.52
108,'p_B30May19_200_R1.csv',BVR,5/30/2019,200,0.1,1,0.57,36.21,0.58,36.56,0.29,18.22,0.14,9.01
221,'p_F30May19_01_R2.csv',FCR,5/30/2019,1,0.1,2,0.40,37.23,0.43,39.71,0.10,9.08,0.15,13.98
226,'p_F30May19_20_R1.csv',FCR,5/30/2019,20,0.1,1,0.38,32.41,0.45,37.90,0.06,5.48,0.29,24.21
227,'p_F30May19_30_R2.csv',FCR,5/30/2019,30,0.1,2,0.43,37.17,0.48,41.81,0.09,8.19,0.15,12.83
228,'p_F30May19_45_R1.csv',FCR,5/30/2019,45,0.1,1,0.42,38.96,0.46,42.61,0.04,3.47,0.16,14.97
229,'p_F30May19_50_R1.csv',FCR,5/30/2019,50,0.1,1,0.42,32.39,0.52,39.56,0.06,4.83,0.30,23.22
230,'p_F30May19_99_R2.csv',FCR,5/30/2019,99,0.1,2,0.39,34.18,0.42,36.43,0.13,11.30,0.21,18.09
222,'p_F30May19_100_R2.csv',FCR,5/30/2019,100,0.1,2,0.33,35.11,0.31,32.73,0.13,14.05,0.17,18.11
223,'p_F30May19_101_R2.csv',FCR,5/30/2019,101,0.1,2,0.38,33.34,0.29,25.83,0.31,27.42,0.15,13.40
224,'p_F30May19_102_R1.csv',FCR,5/30/2019,102,0.1,1,0.30,35.15,0.34,39.16,0.06,6.49,0.17,19.20
225,'p_F30May19_200_R2.csv',FCR,5/30/2019,200,0.1,2,0.90,42.73,0.81,38.20,0.12,5.70,0.28,13.36
234,'p_F3Jun19_0.1mR2.csv',FCR,6/3/2019,50,0.1,2,0.38,35.80,0.48,44.67,0.01,0.71,0.20,18.82
235,'p_F3Jun19_5.0mR1.csv',FCR,6/3/2019,50,5,1,0.43,31.80,0.49,36.40,0.16,12.14,0.26,19.66
236,'p_F3Jun19_9m_R2_AH.csv',FCR,6/3/2019,50,9,2,0.37,31.75,0.45,38.53,0.17,14.58,0.18,15.14
43,'p_20200224_F3Jun19_INFR2.csv',FCR,6/3/2019,100,0.1,2,0.39,40.44,0.29,30.18,0.19,19.37,0.10,10.01
44,'p_20200224_F3Jun19_WETR2_Dil.csv',FCR,6/3/2019,200,0.1,2,0.90,44.31,0.57,28.15,0.41,20.12,0.15,7.42
245,'p_F6Jun19_Surf_R1.csv',FCR,6/6/2019,50,0.1,1,0.42,32.81,0.55,42.46,0.01,1.12,0.30,23.61
45,'p_20200224_F6Jun19_0.1R2_Dil.csv',FCR,6/6/2019,50,0.1,2,0.44,34.27,0.56,43.37,0.05,3.54,0.24,18.82
46,'p_20200224_F6Jun19_5R2.csv',FCR,6/6/2019,50,5,2,0.43,36.42,0.54,45.56,0.00,0.00,0.21,18.02
47,'p_20200224_F6Jun19_9R1_Dil.csv',FCR,6/6/2019,50,9,1,0.38,32.22,0.49,41.28,0.13,10.96,0.18,15.53
22,'p_20200124_F10Jun19_0.1R2_Dil.csv',FCR,6/10/2019,50,0.1,2,0.46,43.75,0.47,45.35,0.00,0.00,0.11,10.90
23,'p_20200124_F10Jun19_5R2_Dil.csv',FCR,6/10/2019,50,5,2,0.51,46.39,0.53,47.33,0.00,0.00,0.07,6.28
24,'p_20200124_F10Jun19_9R1_Dil.csv',FCR,6/10/2019,50,9,1,0.45,43.87,0.47,45.33,0.00,0.00,0.11,10.80
127,'p_F13Jun19_0.1R2.csv',FCR,6/13/2019,50,0.1,2,0.51,36.93,0.56,40.29,0.08,6.09,0.23,16.69
5,'p_20190909_F13Jun19_5mR1.csv',FCR,6/13/2019,50,5,1,0.42,41.37,0.54,53.09,0.01,1.38,0.04,4.16
1,'p_20190905_3DEEM_F13Jun19_9.0R1.csv',FCR,6/13/2019,50,9,1,0.40,35.09,0.47,41.59,0.13,11.12,0.14,12.20
25,'p_20200131_F17Jun19_0.1R1_Dil.csv',FCR,6/17/2019,50,0.1,1,0.47,37.23,0.53,41.63,0.06,4.42,0.21,16.72
26,'p_20200131_F17Jun19_5R2.csv',FCR,6/17/2019,50,5,2,0.21,30.15,0.29,42.41,0.12,16.78,0.07,10.67
27,'p_20200131_F17Jun19_9R2.csv',FCR,6/17/2019,50,9,2,0.21,30.24,0.29,42.39,0.11,16.70,0.07,10.67
48,'p_20200227_F17Jun19_INFR2.csv',FCR,6/17/2019,100,0.1,2,0.36,40.88,0.32,36.28,0.09,10.02,0.11,12.83
49,'p_20200227_F17Jun19_WETR2_Dil.csv',FCR,6/17/2019,200,0.1,2,0.88,45.00,0.68,34.67,0.24,12.10,0.16,8.22
54,'p_20200228_F20Jun19_SurfR2_Dil.csv',FCR,6/20/2019,50,0.1,2,0.47,25.48,0.63,34.22,0.02,0.85,0.73,39.44
52,'p_20200228_F20Jun19_5R1.csv',FCR,6/20/2019,50,5,1,0.53,32.56,0.49,30.54,0.33,20.56,0.26,16.34
53,'p_20200228_F20Jun19_9R2_Dil.csv',FCR,6/20/2019,50,9,2,0.48,25.60,0.82,44.15,0.09,4.91,0.47,25.34
28,'p_20200131_F24Jun19_0.1R1_Dil.csv',FCR,6/24/2019,50,0.1,1,0.48,37.19,0.53,41.47,0.06,4.60,0.21,16.73
29,'p_20200131_F24Jun19_5R1_Dil.csv',FCR,6/24/2019,50,5,1,0.43,23.58,0.70,38.87,0.12,6.63,0.56,30.92
30,'p_20200131_F24Jun19_9R2_Dil.csv',FCR,6/24/2019,50,9,2,0.42,30.13,0.59,42.34,0.23,16.92,0.15,10.61
85,'p_B27Jun19_01_R1.csv',BVR,6/27/2019,1,0.1,1,0.31,29.22,0.38,36.64,0.13,12.40,0.23,21.74
88,'p_B27Jun19_20_R1.csv',BVR,6/27/2019,20,0.1,1,0.30,28.70,0.39,37.82,0.13,12.77,0.22,20.72
89,'p_B27Jun19_30_R1.csv',BVR,6/27/2019,30,0.1,1,0.34,28.33,0.45,37.65,0.16,13.49,0.25,20.53
90,'p_B27Jun19_45_R1.csv',BVR,6/27/2019,45,0.1,1,0.31,27.41,0.41,35.97,0.16,14.30,0.25,22.31
91,'p_B27Jun19_50_R1.csv',BVR,6/27/2019,50,0.1,1,0.31,29.27,0.38,36.49,0.15,14.40,0.21,19.84
86,'p_B27Jun19_100_R1.csv',BVR,6/27/2019,100,0.1,1,0.66,43.71,0.43,28.16,0.35,23.18,0.07,4.94
87,'p_B27Jun19_200_R2.csv',BVR,6/27/2019,200,0.1,2,0.73,30.85,0.77,32.90,0.40,17.03,0.45,19.22
187,'p_F27Jun19_01_R2.csv',FCR,6/27/2019,1,0.1,2,0.43,32.70,0.41,31.06,0.28,21.33,0.20,14.91
192,'p_F27Jun19_20_R1.csv',FCR,6/27/2019,20,0.1,1,0.48,29.36,0.63,38.76,0.00,0.00,0.52,31.88
193,'p_F27Jun19_30_R1.csv',FCR,6/27/2019,30,0.1,1,0.44,30.84,0.58,40.51,0.05,3.78,0.36,24.86
194,'p_F27Jun19_45_R1.csv',FCR,6/27/2019,45,0.1,1,0.44,29.16,0.57,37.80,0.01,0.66,0.49,32.38
58,'p_20200228_F27Jun19_SurfR2_Dil.csv',FCR,6/27/2019,50,0.1,2,0.47,34.56,0.56,41.71,0.05,3.71,0.27,20.03
195,'p_F27Jun19_50_R2.csv',FCR,6/27/2019,50,0.1,2,0.44,33.91,0.52,39.77,0.04,2.82,0.31,23.50
56,'p_20200228_F27Jun19_5R1_Dil.csv',FCR,6/27/2019,50,5,1,0.50,35.62,0.61,43.36,0.07,4.76,0.23,16.25
196,'p_F27Jun19_5m_R1.csv',FCR,6/27/2019,50,5,1,0.50,27.61,0.75,41.27,0.08,4.46,0.48,26.66
198,'p_F27Jun19_9m_R1.csv',FCR,6/27/2019,50,9,1,0.42,24.34,0.59,34.24,0.17,10.18,0.54,31.24
57,'p_20200228_F27Jun19_9R2_Dil.csv',FCR,6/27/2019,50,9,2,0.49,28.97,0.72,42.59,0.07,4.06,0.41,24.38
197,'p_F27Jun19_99_R2.csv',FCR,6/27/2019,99,0.1,2,0.40,44.65,0.32,35.61,0.07,7.77,0.11,11.97
188,'p_F27Jun19_100_R2.csv',FCR,6/27/2019,100,0.1,2,0.40,41.92,0.30,31.69,0.16,16.58,0.09,9.80
189,'p_F27Jun19_101_R1.csv',FCR,6/27/2019,101,0.1,1,0.37,41.60,0.34,39.03,0.06,6.66,0.11,12.71
190,'p_F27Jun19_102_R1.csv',FCR,6/27/2019,102,0.1,1,0.33,20.66,0.39,24.03,0.13,8.32,0.75,46.99
191,'p_F27Jun19_200_R2.csv',FCR,6/27/2019,200,0.1,2,0.89,41.70,0.82,38.44,0.00,0.00,0.42,19.86
155,'p_F1Jul19_0.1mR1_Dil.csv',FCR,7/1/2019,50,0.1,1,0.59,23.91,0.66,26.82,0.23,9.23,0.99,40.03
156,'p_F1Jul19_5mR1.csv',FCR,7/1/2019,50,5,1,0.45,32.24,0.53,38.54,0.17,12.42,0.23,16.80
157,'p_F1Jul19_9.0mR1.csv',FCR,7/1/2019,50,9,1,0.53,27.41,0.65,33.37,0.42,21.58,0.34,17.63
2,'p_20190909_F03Jul19_0.1mR1_50Dil.csv',FCR,7/3/2019,50,0.1,1,0.44,32.78,0.59,44.15,0.12,8.66,0.19,14.42
18,'p_20190930_F3Jul19_5m_R1FltDil.csv',FCR,7/3/2019,50,5,1,0.45,31.07,0.62,43.55,0.09,6.37,0.27,19.01
3,'p_20190909_F03Jul19_5mR2_50Dil.csv',FCR,7/3/2019,50,5,2,0.43,32.77,0.60,45.59,0.13,9.53,0.16,12.11
4,'p_20190909_F03Jul19_9mR1.csv',FCR,7/3/2019,50,9,1,0.41,30.30,0.55,40.24,0.31,22.68,0.09,6.78
246,'p_F8Jul19_0.1mR2_Dil.csv',FCR,7/8/2019,50,0.1,2,0.55,33.70,0.61,37.33,0.07,4.11,0.41,24.86
247,'p_F8Jul19_5mR1.csv',FCR,7/8/2019,50,5,1,0.51,30.79,0.57,34.69,0.24,14.45,0.33,20.06
248,'p_F8Jul19_9.0mR1.csv',FCR,7/8/2019,50,9,1,0.44,24.28,0.56,30.67,0.50,27.07,0.33,17.98
50,'p_20200227_F8Jul19_INFR2_Dil.csv',FCR,7/8/2019,100,0.1,2,0.48,43.09,0.36,32.06,0.06,5.09,0.22,19.76
51,'p_20200227_F8Jul19_WETR1_Dil.csv',FCR,7/8/2019,200,0.1,1,0.88,47.00,0.72,38.50,0.14,7.66,0.13,6.84
6,'p_20190909_F15Jul19_0.1mR1_50Dil.csv',FCR,7/15/2019,50,0.1,1,0.50,31.62,0.67,42.04,0.11,7.00,0.31,19.34
12,'p_20190930_F13Jul19_5m_R1_Dil.csv',FCR,7/15/2019,50,5,1,0.43,25.28,0.61,35.79,0.34,19.86,0.32,19.07
7,'p_20190909_F15Jul19_5mR2_50Dil.csv',FCR,7/15/2019,50,5,2,0.54,35.10,0.66,43.16,0.12,7.83,0.21,13.90
8,'p_20190909_F15Jul19_9.0mR2.csv',FCR,7/15/2019,50,9,2,0.40,30.91,0.55,42.66,0.23,17.57,0.11,8.85
71,'p_B18Jul19_01_R1.csv',BVR,7/18/2019,1,0.1,1,0.35,27.82,0.44,35.32,0.19,15.60,0.26,21.26
74,'p_B18Jul19_20_R1.csv',BVR,7/18/2019,20,0.1,1,0.35,24.78,0.47,32.79,0.28,19.37,0.33,23.06
75,'p_B18Jul19_30_R2.csv',BVR,7/18/2019,30,0.1,2,0.36,22.83,0.43,27.53,0.49,31.39,0.29,18.25
76,'p_B18Jul19_45_R1.csv',BVR,7/18/2019,45,0.1,1,0.30,18.62,0.49,30.72,0.59,37.02,0.22,13.64
77,'p_B18Jul19_Surf_R1.csv',BVR,7/18/2019,50,0.1,1,0.34,26.60,0.45,35.32,0.20,16.06,0.28,22.01
72,'p_B18Jul19_100_R2.csv',BVR,7/18/2019,100,0.1,2,0.66,31.49,0.54,25.42,0.76,35.99,0.15,7.11
73,'p_B18Jul19_200_R2.csv',BVR,7/18/2019,200,0.1,2,0.63,25.05,0.71,28.13,0.86,34.10,0.32,12.72
131,'p_F18Jul19_01_R1.csv',FCR,7/18/2019,1,0.1,1,0.51,29.35,0.47,27.43,0.47,27.28,0.28,15.94
136,'p_F18Jul19_20_R2.csv',FCR,7/18/2019,20,0.1,2,0.55,31.17,0.63,35.91,0.24,13.42,0.34,19.50
137,'p_F18Jul19_30_R1.csv',FCR,7/18/2019,30,0.1,1,0.53,32.55,0.62,37.90,0.12,7.06,0.37,22.48
138,'p_F18Jul19_45_R1.csv',FCR,7/18/2019,45,0.1,1,0.54,31.10,0.61,35.27,0.24,14.18,0.34,19.46
140,'p_F18Jul19_Surf_R1.csv',FCR,7/18/2019,50,0.1,1,0.57,28.87,0.72,36.53,0.28,14.05,0.41,20.55
139,'p_F18Jul19_99_R1.csv',FCR,7/18/2019,99,0.1,1,0.52,37.88,0.34,24.84,0.40,29.13,0.11,8.15
132,'p_F18Jul19_100_R2.csv',FCR,7/18/2019,100,0.1,2,0.51,49.72,0.39,38.12,0.03,2.48,0.10,9.67
133,'p_F18Jul19_101_R2.csv',FCR,7/18/2019,101,0.1,2,0.56,51.45,0.33,30.71,0.09,8.14,0.11,9.70
134,'p_F18Jul19_102_R2.csv',FCR,7/18/2019,102,0.1,2,0.12,20.97,0.00,0.00,0.43,72.63,0.04,6.40
135,'p_F18Jul19_200_R1.csv',FCR,7/18/2019,200,0.1,1,1.14,40.04,0.83,29.00,0.69,24.13,0.19,6.83
181,'p_F22Jul19_0.1mR1_Dil.csv',FCR,7/22/2019,50,0.1,1,0.59,26.45,0.89,40.37,0.10,4.72,0.63,28.46
