i,SampleName,Reservoir,Date,Station,Depth,Rep,Fmax1,Fmax2,Fmax3,Fmax4
123,'p_F29Apr19_50_R1.csv',FCR,4/29/2019,50,0.1,1,0.412071478,0.408787026,0.100339685,0.139146931
121,'p_F29Apr19_100_R1.csv',FCR,4/29/2019,100,0.1,1,0.321256871,0.288681337,0.095804344,0.156801772
122,'p_F29Apr19_200_R1.csv',FCR,4/29/2019,200,0.1,1,0.652252678,0.563834449,0.409033165,0.12949759
90,'p_F20May19_0.1mR2.csv',FCR,5/20/2019,50,0.1,2,0.380854366,0.422255323,0.212690314,0.158447545
91,'p_F20May19_5.0mR2.csv',FCR,5/20/2019,50,5,2,0.397623166,0.459405013,0.110138404,0.218340199
92,'p_F20May19_9.0mR2.csv',FCR,5/20/2019,50,9,2,0.363599104,0.437817708,0.153762475,0.203457178
9,'p_20190909_F27May19_0.1mR1.csv',FCR,5/27/2019,50,0.1,1,0.355620251,0.424565693,0.124432193,0.085983455
10,'p_20190909_F27May19_5mR1.csv',FCR,5/27/2019,50,5,1,0.400756918,0.482724304,0.131285327,0.086748946
118,'p_F27May19_9m_R1.csv',FCR,5/27/2019,50,9,1,0.400137254,0.481142067,0.142103429,0.237636704
11,'p_20190909_F27May19_9mR2_50Dil.csv',FCR,5/27/2019,50,9,2,0.710072466,0.847984096,0.243371393,0.172090798
136,'p_F30May19_50_R1.csv',FCR,5/30/2019,50,0.1,1,0.410394876,0.505253198,0.076063188,0.29746765
134,'p_F30May19_100_R2.csv',FCR,5/30/2019,100,0.1,2,0.326720106,0.305441914,0.138416946,0.16154142
135,'p_F30May19_200_R2.csv',FCR,5/30/2019,200,0.1,2,0.878359447,0.803972602,0.129630797,0.284350373
140,'p_F3Jun19_0.1mR2.csv',FCR,6/3/2019,50,0.1,2,0.367760233,0.462805037,0.022433135,0.201792327
141,'p_F3Jun19_5.0mR1.csv',FCR,6/3/2019,50,5,1,0.416256559,0.475283365,0.177720806,0.247827941
142,'p_F3Jun19_9m_R2_AH.csv',FCR,6/3/2019,50,9,2,0.361833681,0.44027105,0.180357196,0.164909207
42,'p_20200224_F3Jun19_INFR2.csv',FCR,6/3/2019,100,0.1,2,0.383002424,0.296912714,0.175665821,0.090504915
43,'p_20200224_F3Jun19_WETR2_Dil.csv',FCR,6/3/2019,200,0.1,2,0.893799332,0.594243856,0.384051093,0.140581358
151,'p_F6Jun19_Surf_R1.csv',FCR,6/6/2019,50,0.1,1,0.407538476,0.528643231,0.03368028,0.300356564
44,'p_20200224_F6Jun19_0.1R2_Dil.csv',FCR,6/6/2019,50,0.1,2,0.428455531,0.547337674,0.05873516,0.243330362
45,'p_20200224_F6Jun19_5R2.csv',FCR,6/6/2019,50,5,2,0.418155758,0.532769128,0.011545014,0.22045971
46,'p_20200224_F6Jun19_9R1_Dil.csv',FCR,6/6/2019,50,9,2,0.371315083,0.483083864,0.134246766,0.181059559
21,'p_20200124_F10Jun19_0.1R2_Dil.csv',FCR,6/10/2019,50,0.1,2,0.439785646,0.471393966,0,0.125560714
22,'p_20200124_F10Jun19_5R2_Dil.csv',FCR,6/10/2019,50,5,2,0.496550402,0.525670995,0,0.084371015
23,'p_20200124_F10Jun19_9R1_Dil.csv',FCR,6/10/2019,50,9,1,0.436954692,0.467070794,0,0.123470722
73,'p_F13Jun19_0.1R2.csv',FCR,6/13/2019,50,0.1,2,0.496957538,0.548101975,0.101123097,0.226326634
5,'p_20190909_F13Jun19_5mR1.csv',FCR,6/13/2019,50,5,1,0.399235445,0.527620241,0.024554476,0.05316049
1,'p_20190905_3DEEM_F13Jun19_9.0R1.csv',FCR,6/13/2019,50,9,1,0.386503504,0.463097803,0.136698439,0.13291203
24,'p_20200131_F17Jun19_0.1R1_Dil.csv',FCR,6/17/2019,50,0.1,1,0.45698206,0.515101111,0.070774675,0.210084307
25,'p_20200131_F17Jun19_5R2.csv',FCR,6/17/2019,50,5,2,0.203131466,0.289367122,0.118259126,0.070332771
26,'p_20200131_F17Jun19_9R2.csv',FCR,6/17/2019,50,9,2,0.203049185,0.288226469,0.117408331,0.070097102
47,'p_20200227_F17Jun19_INFR2.csv',FCR,6/17/2019,100,0.1,2,0.34623686,0.31172642,0.09372322,0.106268145
48,'p_20200227_F17Jun19_WETR2_Dil.csv',FCR,6/17/2019,200,0.1,2,0.862756532,0.682849238,0.23699738,0.156239987
51,'p_20200228_F20Jun19_5R1.csv',FCR,6/20/2019,50,5,1,0.521954707,0.488888373,0.337152038,0.238680734
52,'p_20200228_F20Jun19_9R2_Dil.csv',FCR,6/20/2019,50,9,2,0.461438424,0.798908559,0.11528604,0.465029024
27,'p_20200131_F24Jun19_0.1R1_Dil.csv',FCR,6/24/2019,50,0.1,1,0.460537063,0.517612248,0.073421452,0.211818522
28,'p_20200131_F24Jun19_5R1_Dil.csv',FCR,6/24/2019,50,5,1,0.413167619,0.665906178,0.165657913,0.53243265
29,'p_20200131_F24Jun19_9R2_Dil.csv',FCR,6/24/2019,50,9,2,0.408673389,0.581440464,0.239635052,0.140673207
57,'p_20200228_F27Jun19_SurfR2_Dil.csv',FCR,6/27/2019,50,0.1,2,0.451256723,0.546379925,0.067570577,0.265924493
115,'p_F27Jun19_50_R2.csv',FCR,6/27/2019,50,0.1,2,0.430909734,0.506679134,0.054129562,0.302609353
55,'p_20200228_F27Jun19_5R1_Dil.csv',FCR,6/27/2019,50,5,1,0.481129888,0.591965988,0.086344295,0.223864042
116,'p_F27Jun19_5m_R1.csv',FCR,6/27/2019,50,5,1,0.487026138,0.732337596,0.0935347,0.480675834
117,'p_F27Jun19_9m_R1.csv',FCR,6/27/2019,50,9,1,0.41214222,0.573157204,0.185286667,0.516422155
56,'p_20200228_F27Jun19_9R2_Dil.csv',FCR,6/27/2019,50,9,2,0.474175083,0.703358611,0.082271711,0.410023153
113,'p_F27Jun19_100_R2.csv',FCR,6/27/2019,100,0.1,2,0.389192562,0.300573086,0.157830048,0.08429716
114,'p_F27Jun19_200_R2.csv',FCR,6/27/2019,200,0.1,2,0.860470127,0.811276069,0.004032982,0.431492238
88,'p_F1Jul19_5mR1.csv',FCR,7/1/2019,50,5,1,0.435677504,0.522237633,0.187211403,0.219374548
89,'p_F1Jul19_9.0mR1.csv',FCR,7/1/2019,50,9,1,0.532398283,0.641947885,0.428422807,0.313963005
2,'p_20190909_F03Jul19_0.1mR1_50Dil.csv',FCR,7/3/2019,50,0.1,1,0.42491209,0.580705948,0.126460715,0.189967626
18,'p_20190930_F3Jul19_5m_R1FltDil.csv',FCR,7/3/2019,50,5,1,0.431015656,0.606668548,0.110084824,0.267592013
3,'p_20190909_F03Jul19_5mR2_50Dil.csv',FCR,7/3/2019,50,5,2,0.421010349,0.596787927,0.136092439,0.159738086
4,'p_20190909_F03Jul19_9mR1.csv',FCR,7/3/2019,50,9,1,0.407933773,0.548140721,0.303772192,0.085396684
152,'p_F8Jul19_0.1mR2_Dil.csv',FCR,7/8/2019,50,0.1,2,0.534986668,0.589818297,0.098991827,0.38944859
153,'p_F8Jul19_5mR1.csv',FCR,7/8/2019,50,5,1,0.49592099,0.555500844,0.260149942,0.302602134
154,'p_F8Jul19_9.0mR1.csv',FCR,7/8/2019,50,9,1,0.44666925,0.551979766,0.507630492,0.286341844
49,'p_20200227_F8Jul19_INFR2_Dil.csv',FCR,7/8/2019,100,0.1,2,0.466755952,0.352454943,0.064295026,0.213192012
50,'p_20200227_F8Jul19_WETR1_Dil.csv',FCR,7/8/2019,200,0.1,1,0.860319278,0.725603298,0.145837234,0.134184689
6,'p_20190909_F15Jul19_0.1mR1_50Dil.csv',FCR,7/15/2019,50,0.1,1,0.489844735,0.655663879,0.124629195,0.303575198
12,'p_20190930_F13Jul19_5m_R1_Dil.csv',FCR,7/15/2019,50,5,1,0.426924797,0.599603416,0.346791141,0.300195462
7,'p_20190909_F15Jul19_5mR2_50Dil.csv',FCR,7/15/2019,50,5,2,0.522374974,0.65171107,0.133152341,0.211070413
8,'p_20190909_F15Jul19_9.0mR2.csv',FCR,7/15/2019,50,9,2,0.392047428,0.545699816,0.233851772,0.107764239
79,'p_F18Jul19_Surf_R1.csv',FCR,7/18/2019,50,0.1,1,0.561178623,0.70964911,0.286224172,0.387115967
77,'p_F18Jul19_100_R2.csv',FCR,7/18/2019,100,0.1,2,0.490857799,0.384455361,0.038495214,0.097301975
78,'p_F18Jul19_200_R1.csv',FCR,7/18/2019,200,0.1,1,1.130275022,0.846619415,0.670135103,0.162041497
107,'p_F22Jul19_0.1mR1_Dil.csv',FCR,7/22/2019,50,0.1,1,0.568522833,0.862569827,0.134387891,0.613722317
108,'p_F22Jul19_5mR2.csv',FCR,7/22/2019,50,5,2,0.469648314,0.592215671,0.321212409,0.241189944
109,'p_F22Jul19_9mR2_Dil.csv',FCR,7/22/2019,50,9,2,0.66158668,0.750528921,0.845874358,0.305217279
54,'p_20200228_F22Jul19_INFR2_Dil.csv',FCR,7/22/2019,100,0.1,2,0.582387149,0.367232604,0.136698302,0.119775059
61,'p_20200302_F22Jul19_WETR1_Dil.csv',FCR,7/22/2019,200,0.1,1,1.18789405,1.014954474,0.467890822,0.189084552
124,'p_F29Jul19_5mR1_ReDL.csv',FCR,7/29/2019,50,5,1,0.555819597,0.57121347,0.447707783,0.406826817
125,'p_F29Jul19_9R2_Dil.csv',FCR,7/29/2019,50,9,2,1.42773283,1.535162033,2.947399712,0.663052311
126,'p_F29Jul19_Inf_R1.csv',FCR,7/29/2019,100,0.1,1,0.595306107,0.19768209,0.655721256,0.087708084
128,'p_F29Jul19_Wet_R1.csv',FCR,7/29/2019,200,0.1,1,0.950318416,0.674005943,0.633859714,0.191237198
149,'p_F5Aug19_SurfR1_Dil.csv',FCR,8/5/2019,50,0.1,1,0.606241093,0.658445144,0.236400954,0.459417097
146,'p_F5Aug19_5R1.csv',FCR,8/5/2019,50,5,1,0.368620593,0.449011083,0.402504408,0.274975091
148,'p_F5Aug19_Inf_R1.csv',FCR,8/5/2019,100,0.1,1,0.55326073,0.394609007,0.089236831,0.126307215
72,'p_F12Aug19_Surf_R2.csv',FCR,8/12/2019,50,0.1,2,0.606152526,0.759931928,0.216008806,0.395448885
70,'p_F12Aug19_5m_R1.csv',FCR,8/12/2019,50,5,1,0.386995766,0.494636685,0.270276233,0.166320142
71,'p_F12Aug19_9m_R2.csv',FCR,8/12/2019,50,9,2,0.34006575,0.522692721,0.246968613,0.179734217
13,'p_20190930_F14Aug19_0.1m_Dil.csv',FCR,8/14/2019,50,0.1,1,0.612371875,0.720275823,0.312128899,0.411286423
14,'p_20190930_F14Aug19_5m_R1_Dil.csv',FCR,8/14/2019,50,5,1,0.477024197,0.630486752,0.435950973,0.301583405
15,'p_20190930_F14Aug19_9m_R2_Dil.csv',FCR,8/14/2019,50,9,2,0.423376659,0.669665641,0.38670208,0.215807123
16,'p_20190930_F14Aug19_9m_R2_DilFlt.csv',FCR,8/14/2019,50,9,2,0.40098019,0.621972951,0.285225096,0.250299555
80,'p_F19Aug19Surf_R1.csv',FCR,8/19/2019,50,0.1,1,0.683432766,0.817870728,0.373320956,0.576290376
81,'p_F19Aug19_5mR2.csv',FCR,8/19/2019,50,5,2,0.464186284,0.532091139,0.389124261,0.132412343
82,'p_F19Aug19_9mR1.csv',FCR,8/19/2019,50,9,1,0.358250731,0.557423478,0.317457073,0.17070383
83,'p_F19Aug19_Inf_R1.csv',FCR,8/19/2019,100,0.1,1,0.562065726,0.385147957,0.292151349,0.093741665
84,'p_F19Aug19_Wet_R2.csv',FCR,8/19/2019,200,0.1,2,1.070144501,0.865702389,0.45608312,0.134536152
100,'p_F22Aug19_0.1R1.csv',FCR,8/22/2019,50,0.1,1,0.630486979,0.756450815,0.201589848,0.511641653
104,'p_F22Aug19_50_R2.csv',FCR,8/22/2019,50,0.1,2,0.622356482,0.745746926,0.191749905,0.534072499
103,'p_F22Aug19_5.0R1.csv',FCR,8/22/2019,50,5,1,0.499464491,0.634658769,0.495506978,0.307425935
105,'p_F22Aug19_5m_R2.csv',FCR,8/22/2019,50,5,2,0.588262064,0.567783645,0.987193612,0.198609108
106,'p_F22Aug19_9m_R1.csv',FCR,8/22/2019,50,9,1,0.549211218,0.580423609,0.696904275,0.217931367
17,'p_20190930_F22Aug19_9m_R2_Dil.csv',FCR,8/22/2019,50,9,2,0.465817152,0.675069449,0.598089908,0.265359553
101,'p_F22Aug19_100_R1.csv',FCR,8/22/2019,100,0.1,1,0.579037516,0.357400508,0.214727813,0.131327974
102,'p_F22Aug19_200_R2.csv',FCR,8/22/2019,200,0.1,2,1.095235698,0.855245453,0.569221039,0.154826773
119,'p_F28Aug190_0.1R2.csv',FCR,8/28/2019,50,0.1,2,0.703246941,0.834323089,0.255934874,0.588213963
120,'p_F28Aug19_5.0R2.csv',FCR,8/28/2019,50,5,2,0.500505061,0.62856084,0.504350141,0.300186947
20,'p_20191115_F28Aug19_9R1_Dil.csv',FCR,8/28/2019,50,9,1,0.610244005,0.926655984,0.249153243,0.29907925
131,'p_F2Sep19_SurfR1_Dil.csv',FCR,9/2/2019,50,0.1,1,0.722524011,0.783668338,0.279947772,0.824930554
62,'p_2Sep19_5R1_Dil.csv',FCR,9/2/2019,50,5,1,0.520470959,0.657608143,0.204939085,0.415451165
130,'p_F2Sep19_Inf_R1.csv',FCR,9/2/2019,100,0.1,1,0.523955183,0.298501581,0.284668665,0.138630706
132,'p_F2Sep19_Wet_R2.csv',FCR,9/2/2019,200,0.1,2,0.899844922,0.822675304,0.241792883,0.390427624
19,'p_20191115_F11Sep19_0.1R1_Dil.csv',FCR,9/11/2019,50,0.1,1,0.563041747,0.81601907,0.050492556,0.401135507
68,'p_F11Sep19_5.0R2.csv',FCR,9/11/2019,50,5,2,0.380011381,0.494864133,0.494083976,0.299482355
69,'p_F11Sep19_9.0R2.csv',FCR,9/11/2019,50,9,2,0.298866166,0.493741218,0.111700807,0.200511673
60,'p_20200302_F20Sep19_Surf_R1_Dil.csv',FCR,9/20/2019,50,0.1,1,0.710208807,0.885262639,0.284632985,0.692238293
99,'p_F20Sep19_SurfR2_Dil.csv',FCR,9/20/2019,50,0.1,2,0.713885357,0.815770301,0.4853456,0.797729494
59,'p_20200302_F20Sep19_9R1_Dil.csv',FCR,9/20/2019,50,9,1,0.286349065,0.458744794,0.153982222,0.184495015
98,'p_F20Sep19_9R2_Dil.csv',FCR,9/20/2019,50,9,2,0.352405728,0.439669517,0.193925395,0.244679089
96,'p_F20Sep19_100_R1.csv',FCR,9/20/2019,100,0.1,1,0.496999651,0.478661644,0.38746458,0.142750364
36,'p_20200221_F27Sep19_0.1R1_Dil.csv',FCR,9/27/2019,50,0.1,1,0.635208476,0.918502448,0.22001612,0.731201475
37,'p_20200221_F27Sep19_0.1R2_Dil.csv',FCR,9/27/2019,50,0.1,2,0.635846414,0.954088776,0.287903646,0.719743202
38,'p_20200221_F27Sep19_5R1_Dil.csv',FCR,9/27/2019,50,5,1,0.513983015,0.656490835,1.104538396,0.379553618
39,'p_20200221_F27Sep19_5R2_Dil.csv',FCR,9/27/2019,50,5,2,0.641529803,0.559571814,1.225633097,0.372793434
129,'p_F29Sep19_9R1_Dil.csv',FCR,9/27/2019,50,9,1,0.460054583,0.456718877,0.589307218,0.318798119
40,'p_20200221_F27Sep19_9R2.csv',FCR,9/27/2019,50,9,2,0.347313801,0.497746897,0.348835575,0.217302096
67,'p_F04Oct19_Surf_R1.csv',FCR,10/4/2019,50,0.1,1,0.686398916,0.67939738,0.650431497,0.863541712
144,'p_F4Oct19_5.0R1.csv',FCR,10/4/2019,50,5,1,0.696605487,0.706065875,1.004142143,0.541115435
65,'p_F04Oct19_5m_R2.csv',FCR,10/4/2019,50,5,2,0.527052546,0.548057386,0.986453205,0.260443489
145,'p_F4Oct19_9.0R1.csv',FCR,10/4/2019,50,9,1,0.282203768,0.48003235,0.060893012,0.161077089
66,'p_F04Oct19_9m_R2.csv',FCR,10/4/2019,50,9,2,0.285740721,0.445057189,0.115443935,0.228246962
63,'p_F04Oct19_100_R2.csv',FCR,10/4/2019,100,0.1,2,0.661752935,0.390707773,0.257499119,0.458645206
64,'p_F04Oct19_200_R2.csv',FCR,10/4/2019,200,0.1,2,1.191542205,1.144101164,0.89706952,0.167285261
76,'p_F16Oct19_Surf_R1.csv',FCR,10/16/2019,50,0.1,1,0.540655697,0.727793859,0.491742774,0.643527465
74,'p_F16Oct19_5m_R2.csv',FCR,10/16/2019,50,5,2,0.65520649,0.854814768,0.612531412,0.682049863
75,'p_F16Oct19_9m_R2.csv',FCR,10/16/2019,50,9,2,0.275203656,0.429716618,0.465738223,0.281010958
112,'p_F23Oct19_Surf_R2.csv',FCR,10/23/2019,50,0.1,2,0.580562119,0.794682647,0.258452936,0.533059483
110,'p_F23Oct19_5m_R2.csv',FCR,10/23/2019,50,5,2,0.58803221,0.70892914,0.285993728,0.443885687
111,'p_F23Oct19_9m_R2.csv',FCR,10/23/2019,50,9,2,0.353478102,0.517681163,0.330857191,0.2790373
139,'p_F30Oct19_Surf_R1.csv',FCR,10/30/2019,50,0.1,1,0.646331962,0.555743479,1.240320121,0.935756871
137,'p_F30Oct19_5m_R2.csv',FCR,10/30/2019,50,5,2,0.493424306,0.738797749,0.638401209,0.376545178
138,'p_F30Oct19_9m_R2.csv',FCR,10/30/2019,50,9,2,0.383275479,0.66337244,0.262068312,0.266519185
155,'p_F8Nov19_0.1R1.csv',FCR,11/8/2019,50,0.1,1,0.583457875,0.763879217,0.296487839,0.507767762
157,'p_F8Nov19_5.0R2.csv',FCR,11/8/2019,50,5,2,0.613662616,0.776349167,0.282923195,0.493784732
158,'p_F8Nov19_9.0R2.csv',FCR,11/8/2019,50,9,2,0.614547504,0.792907906,0.387924717,0.488419553
156,'p_F8Nov19_100_R2.csv',FCR,11/8/2019,100,0.1,2,0.460175052,0.351663605,0.242595999,0.086528659
95,'p_F20Nov19_Surf_R2.csv',FCR,11/20/2019,50,0.1,2,0.573100653,0.757159417,0.284740823,0.424976157
93,'p_F20Nov19_5m_R1.csv',FCR,11/20/2019,50,5,1,0.592369463,0.778665952,0.459617658,0.368354548
94,'p_F20Nov19_9m_R1.csv',FCR,11/20/2019,50,9,1,0.623829545,0.735053047,0.376022525,0.463728554
133,'p_F30Mar20_50_R2.csv',FCR,3/30/2020,50,0.1,2,0.517789373,0.528936658,0.205570281,0.214038137
86,'p_F19mar20_100_R1.csv',FCR,3/30/2020,100,0.1,1,0.611844526,0.302827016,0.434638026,0.147302623
85,'p_F19Mar20_200_R1.csv',FCR,3/30/2020,200,0.1,1,0.895403826,0.737364447,0.533895739,0.088302023
