Sample_id,Sample_Name,Reservoir,Date,Station,Depth,Rep,Dilution,Fmax1,Fmax2,Fmax3,Fmax4
86,p_B29Apr19_01_R1.csv,BVR,4/29/2019,1,0.1,1,1,0.319924413,0.354127374,0.193805781,0.171393056
89,p_B29Apr19_20_R1.csv,BVR,4/29/2019,20,0.1,1,1,0.286224129,0.364459457,0.107370239,0.180195863
90,p_B29Apr19_30_R2.csv,BVR,4/29/2019,30,0.1,2,1,0.299337128,0.372703777,0.07831334,0.177646417
91,p_B29Apr19_45_R1.csv,BVR,4/29/2019,45,0.1,1,1,0.291095931,0.360864651,0.057704518,0.15727217
92,p_B29Apr19_50_R1.csv,BVR,4/29/2019,50,0.1,1,1,0.294107847,0.353757229,0.098198052,0.150250549
87,p_B29Apr19_100_R1.csv,BVR,4/29/2019,100,0.1,1,1,0.365243723,0.26278297,0.333663267,0.095595245
88,p_B29Apr19_200_R2.csv,BVR,4/29/2019,200,0.1,2,1,0.424995255,0.50772629,0.299018357,0.236322527
201,p_F29Apr19_01_R1.csv,FCR,4/29/2019,1,0.1,1,1,0.438318906,0.469422143,0.284687541,0.172571164
206,p_F29Apr19_20_R1.csv,FCR,4/29/2019,20,0.1,1,1,0.405211339,0.430480832,0.24305088,0.148792818
207,p_F29Apr19_30_R1.csv,FCR,4/29/2019,30,0.1,1,1,0.422261981,0.396951822,0.116959641,0.138494056
208,p_F29Apr19_45_R1.csv,FCR,4/29/2019,45,0.1,1,1,0.386194134,0.43486906,0.094764551,0.107663019
209,p_F29Apr19_50_R1.csv,FCR,4/29/2019,50,0.1,1,1,0.419774312,0.396012874,0.120728704,0.12994199
210,p_F29Apr19_99_R1.csv,FCR,4/29/2019,99,0.1,1,1,0.295540422,0.313122488,0.107977736,0.12975214
202,p_F29Apr19_100_R1.csv,FCR,4/29/2019,100,0.1,1,1,0.327251223,0.279256093,0.108403301,0.152659409
203,p_F29Apr19_101_R1.csv,FCR,4/29/2019,101,0.1,1,1,0.333069085,0.309888223,0.166199943,0.327235781
204,p_F29Apr19_102_R1.csv,FCR,4/29/2019,102,0.1,1,1,0.278262807,0.337030762,0.064337502,0.156052107
205,p_F29Apr19_200_R1.csv,FCR,4/29/2019,200,0.1,1,1,0.639643745,0.563113527,0.454025141,0.101570139
154,p_F20May19_0.1mR2.csv,FCR,5/20/2019,50,0.1,1,1,0.36419684,0.436597049,0.216378531,0.153019544
155,p_F20May19_5.0mR2.csv,FCR,5/20/2019,50,5,2,1,0.384727992,0.468519746,0.11195487,0.215666421
156,p_F20May19_9.0mR2.csv,FCR,5/20/2019,50,9,2,1,0.346386289,0.449276679,0.150076291,0.203858268
9,p_20190909_F27May19_0.1mR1.csv,FCR,5/27/2019,50,0.1,1,1,0.34198958,0.433607658,0.125122554,0.084174867
10,p_20190909_F27May19_5mR1.csv,FCR,5/27/2019,50,5,1,1,0.381314939,0.495788406,0.131801312,0.084808567
198,p_F27May19_9m_R1.csv,FCR,5/27/2019,50,9,1,1,0.380074355,0.498918342,0.136651685,0.237355879
11,p_20190909_F27May19_9mR2_50Dil.csv,FCR,5/27/2019,50,9,2,2,0.683584292,0.865309337,0.245441628,0.168098721
100,p_B30May19_01_R1.csv,BVR,5/30/2019,1,0.1,1,1,0.280006534,0.366758506,0.135056783,0.178409584
103,p_B30May19_20_R2.csv,BVR,5/30/2019,20,0.1,2,1,0.282712852,0.378920469,0.126730736,0.189688371
104,p_B30May19_30_R1.csv,BVR,5/30/2019,30,0.1,1,1,0.315646659,0.420898031,0.153308563,0.239916946
105,p_B30May19_45_R2.csv,BVR,5/30/2019,45,0.1,2,1,0.17963838,0.243871945,0.200456672,0.168850686
106,p_B30May19_50_R2.csv,BVR,5/30/2019,50,0.1,2,1,0.285323874,0.370223531,0.11068979,0.220782893
101,p_B30May19_100_R1.csv,BVR,5/30/2019,100,0.1,1,1,0.522839613,0.418945777,0.241313503,0.094216113
102,p_B30May19_200_R1.csv,BVR,5/30/2019,200,0.1,1,1,0.538394676,0.611722189,0.273869002,0.134463579
221,p_F30May19_01_R2.csv,FCR,5/30/2019,1,0.1,2,1,0.376516845,0.436482228,0.106714185,0.143817378
226,p_F30May19_20_R1.csv,FCR,5/30/2019,20,0.1,1,1,0.35177143,0.465366429,0.052975853,0.287635291
227,p_F30May19_30_R2.csv,FCR,5/30/2019,30,0.1,2,1,0.400392407,0.49192863,0.099617087,0.147172574
228,p_F30May19_45_R1.csv,FCR,5/30/2019,45,0.1,1,1,0.399898969,0.456886619,0.063168554,0.151326965
229,p_F30May19_50_R1.csv,FCR,5/30/2019,50,0.1,1,1,0.393367518,0.514708473,0.069654093,0.300083384
230,p_F30May19_99_R2.csv,FCR,5/30/2019,99,0.1,2,1,0.361872606,0.419104459,0.132957797,0.199473687
222,p_F30May19_100_R2.csv,FCR,5/30/2019,100,0.1,2,1,0.310790473,0.322082627,0.136310107,0.157963892
223,p_F30May19_101_R2.csv,FCR,5/30/2019,101,0.1,2,1,0.367733785,0.291082616,0.338017442,0.112569419
224,p_F30May19_102_R1.csv,FCR,5/30/2019,102,0.1,1,1,0.281705947,0.341968797,0.065317788,0.158353575
225,p_F30May19_200_R2.csv,FCR,5/30/2019,200,0.1,2,1,0.838988322,0.831383019,0.128863659,0.278772712
234,p_F3Jun19_0.1mR2.csv,FCR,6/3/2019,50,0.1,2,1,0.354628823,0.475399743,0.027526451,0.193135987
235,p_F3Jun19_5.0mR1.csv,FCR,6/3/2019,50,5,1,1,0.401715482,0.481981869,0.186399471,0.240681233
236,p_F3Jun19_9m_R2_AH.csv,FCR,6/3/2019,50,9,2,1,0.355528692,0.43518123,0.210232965,0.146478765
35,p_20200224_F3Jun19_INFR2.csv,FCR,6/3/2019,100,0.1,2,1,0.367188275,0.306410747,0.181253726,0.086353143
36,p_20200224_F3Jun19_WETR2_Dil.csv,FCR,6/3/2019,200,0.1,2,2,0.864159485,0.61650685,0.400359135,0.127805232
243,p_F6Jun19_Surf_R1.csv,FCR,6/6/2019,50,0.1,1,1,0.391405426,0.547665056,0.0312691,0.294579664
37,p_20200224_F6Jun19_0.1R2_Dil.csv,FCR,6/6/2019,50,0.1,2,2,0.425312582,0.555343774,0.061239865,0.237524775
38,p_20200224_F6Jun19_5R2.csv,FCR,6/6/2019,50,5,2,1,0.411258832,0.534000909,0.024254461,0.209363879
39,p_20200224_F6Jun19_9R1_Dil.csv,FCR,6/6/2019,50,9,1,2,0.35338155,0.496754611,0.132198015,0.179118506
21,p_20200124_F10Jun19_0.1R2_Dil.csv,FCR,6/10/2019,50,0.1,2,2,0.421106036,0.491534252,0,0.119339329
22,p_20200124_F10Jun19_5R2_Dil.csv,FCR,6/10/2019,50,5,2,2,0.463052518,0.554218668,0,0.077714861
23,p_20200124_F10Jun19_9R1_Dil.csv,FCR,6/10/2019,50,9,1,2,0.41826636,0.48707281,0,0.117303275
124,p_F13Jun19_0.1R2.csv,FCR,6/13/2019,50,0.1,2,1,0.479684949,0.555328818,0.11507398,0.214810602
5,p_20190909_F13Jun19_5mR1.csv,FCR,6/13/2019,50,5,1,1,0.390818305,0.531708361,0.034081808,0.044806546
1,p_20190905_3DEEM_F13Jun19_9.0R1.csv,FCR,6/13/2019,50,9,1,1,0.372410335,0.47242813,0.134784887,0.132975328
24,p_20200131_F17Jun19_0.1R1_Dil.csv,FCR,6/17/2019,50,0.1,1,2,0.436371393,0.531914945,0.067750342,0.207413441
25,p_20200131_F17Jun19_5R2.csv,FCR,6/17/2019,50,5,2,1,0.197132065,0.288857419,0.1248282,0.066945863
26,p_20200131_F17Jun19_9R2.csv,FCR,6/17/2019,50,9,2,1,0.197045285,0.287829635,0.123830389,0.066763066
40,p_20200227_F17Jun19_INFR2.csv,FCR,6/17/2019,100,0.1,2,1,0.33669641,0.321265789,0.090573962,0.106565893
41,p_20200227_F17Jun19_WETR2_Dil.csv,FCR,6/17/2019,200,0.1,2,2,0.820639589,0.716178141,0.238564914,0.149751312
44,p_20200228_F20Jun19_5R1.csv,FCR,6/20/2019,50,5,1,1,0.515843289,0.487048001,0.365061614,0.222427357
45,p_20200228_F20Jun19_9R2_Dil.csv,FCR,6/20/2019,50,9,2,2,0.448551167,0.798461266,0.123045168,0.459825919
27,p_20200131_F24Jun19_0.1R1_Dil.csv,FCR,6/24/2019,50,0.1,1,2,0.439155123,0.534584086,0.070939346,0.208847078
28,p_20200131_F24Jun19_5R1_Dil.csv,FCR,6/24/2019,50,5,1,2,0.408774587,0.675589212,0.162504376,0.527070024
29,p_20200131_F24Jun19_9R2_Dil.csv,FCR,6/24/2019,50,9,2,2,0.395766533,0.581110391,0.25175003,0.134548157
79,p_B27Jun19_01_R1.csv,BVR,6/27/2019,1,0.1,1,1,0.287998459,0.379855138,0.155410079,0.203463716
82,p_B27Jun19_20_R1.csv,BVR,6/27/2019,20,0.1,1,1,0.273255122,0.39307532,0.140247126,0.205278219
83,p_B27Jun19_30_R1.csv,BVR,6/27/2019,30,0.1,1,1,0.324730865,0.440767771,0.1979571,0.219283381
84,p_B27Jun19_45_R1.csv,BVR,6/27/2019,45,0.1,1,1,0.294536074,0.407499,0.179890587,0.233418987
85,p_B27Jun19_50_R1.csv,BVR,6/27/2019,50,0.1,1,1,0.286141629,0.392050167,0.151488628,0.199474759
80,p_B27Jun19_100_R1.csv,BVR,6/27/2019,100,0.1,1,1,0.630388464,0.451208139,0.362348419,0.045766339
81,p_B27Jun19_200_R2.csv,BVR,6/27/2019,200,0.1,2,1,0.687169907,0.786884047,0.419011447,0.414223082
186,p_F27Jun19_01_R2.csv,FCR,6/27/2019,1,0.1,2,1,0.412894399,0.423777926,0.285110468,0.176235017
191,p_F27Jun19_20_R1.csv,FCR,6/27/2019,20,0.1,1,1,0.446115002,0.629392158,0,0.515004825
192,p_F27Jun19_30_R1.csv,FCR,6/27/2019,30,0.1,1,1,0.415626478,0.576501544,0.069715394,0.345914219
193,p_F27Jun19_45_R1.csv,FCR,6/27/2019,45,0.1,1,1,0.410578073,0.576525379,0.007033034,0.489699266
194,p_F27Jun19_50_R2.csv,FCR,6/27/2019,50,0.1,2,1,0.40548167,0.535347101,0.029642264,0.311125837
49,p_20200228_F27Jun19_SurfR2_Dil.csv,FCR,6/27/2019,50,0.1,2,2,0.433244348,0.563112421,0.078693977,0.251883732
195,p_F27Jun19_5m_R1.csv,FCR,6/27/2019,50,5,1,1,0.47339479,0.736488271,0.097951307,0.474600922
47,p_20200228_F27Jun19_5R1_Dil.csv,FCR,6/27/2019,50,5,1,2,0.471758008,0.589071975,0.115262968,0.204436706
197,p_F27Jun19_9m_R1.csv,FCR,6/27/2019,50,9,1,1,0.395775081,0.587846706,0.184231552,0.511559031
48,p_20200228_F27Jun19_9R2_Dil.csv,FCR,6/27/2019,50,9,2,2,0.459480997,0.71258794,0.078586244,0.408109202
196,p_F27Jun19_99_R2.csv,FCR,6/27/2019,99,0.1,2,1,0.369818732,0.333709123,0.085837627,0.095117147
187,p_F27Jun19_100_R2.csv,FCR,6/27/2019,100,0.1,2,1,0.366296078,0.321817299,0.148388275,0.087019693
188,p_F27Jun19_101_R1.csv,FCR,6/27/2019,101,0.1,1,1,0.358378962,0.327992437,0.096433837,0.091415106
189,p_F27Jun19_102_R1.csv,FCR,6/27/2019,102,0.1,1,1,0.319134498,0.383738181,0.129683113,0.725600773
190,p_F27Jun19_200_R2.csv,FCR,6/27/2019,200,0.1,2,1,0.825516988,0.839517611,0,0.425447564
152,p_F1Jul19_5mR1.csv,FCR,7/1/2019,50,5,1,1,0.430251892,0.515975716,0.192720864,0.221605199
153,p_F1Jul19_9.0mR1.csv,FCR,7/1/2019,50,9,1,1,0.523202064,0.643687779,0.449085653,0.30318886
2,p_20190909_F03Jul19_0.1mR1_50Dil.csv,FCR,7/3/2019,50,0.1,1,2,0.403807841,0.596391921,0.134005061,0.180967316
18,p_20190930_F3Jul19_5m_R1FltDil.csv,FCR,7/3/2019,50,5,1,2,0.40314205,0.624308458,0.12272385,0.2536906
3,p_20190909_F03Jul19_5mR2_50Dil.csv,FCR,7/3/2019,50,5,2,2,0.421390864,0.594958026,0.142337292,0.155412102
4,p_20190909_F03Jul19_9mR1.csv,FCR,7/3/2019,50,9,1,1,0.381726728,0.577024686,0.288699538,0.089902609
244,p_F8Jul19_0.1mR2_Dil.csv,FCR,7/8/2019,50,0.1,2,2,0.555388507,0.562231878,0.124792023,0.380806156
245,p_F8Jul19_5mR1.csv,FCR,7/8/2019,50,5,1,1,0.499745803,0.548235477,0.286312019,0.287419492
246,p_F8Jul19_9.0mR1.csv,FCR,7/8/2019,50,9,1,1,0.440194582,0.549196082,0.535945105,0.272076885
42,p_20200227_F8Jul19_INFR2_Dil.csv,FCR,7/8/2019,100,0.1,2,2,0.438968226,0.382959321,0.040468737,0.221589906
43,p_20200227_F8Jul19_WETR1_Dil.csv,FCR,7/8/2019,200,0.1,1,2,0.818022104,0.771770513,0.123767657,0.137940924
6,p_20190909_F15Jul19_0.1mR1_50Dil.csv,FCR,7/15/2019,50,0.1,1,2,0.461394433,0.683376712,0.120709335,0.298538205
16,p_20190930_F15Jul19_5m_R1_Dil.csv,FCR,7/15/2019,50,5,1,2,0.405308431,0.619207283,0.342763053,0.299348081
7,p_20190909_F15Jul19_5mR2_50Dil.csv,FCR,7/15/2019,50,5,2,2,0.48192363,0.684164977,0.115872664,0.216603969
8,p_20190909_F15Jul19_9.0mR2.csv,FCR,7/15/2019,50,9,2,1,0.38108315,0.549849294,0.251684726,0.095622401
60,p_B18Jul19_01_R1.csv,BVR,7/18/2019,1,0.1,1,1,0.324944733,0.430779626,0.236450722,0.225900188
63,p_B18Jul19_20_R1.csv,BVR,7/18/2019,20,0.1,1,1,0.331559363,0.474097078,0.288582423,0.29675783
64,p_B18Jul19_30_R2.csv,BVR,7/18/2019,30,0.1,2,1,0.343963914,0.445110506,0.498146201,0.242606217
65,p_B18Jul19_45_R1.csv,BVR,7/18/2019,45,0.1,1,1,0.299473877,0.477941104,0.639491491,0.151616102
66,p_B18Jul19_Surf_R1.csv,BVR,7/18/2019,50,0.1,1,1,0.311022138,0.448618355,0.219273043,0.256565293
61,p_B18Jul19_100_R2.csv,BVR,7/18/2019,100,0.1,2,1,0.651289365,0.555221185,0.769686762,0.095231354
62,p_B18Jul19_200_R2.csv,BVR,7/18/2019,200,0.1,2,1,0.62170554,0.712344895,0.900016177,0.23492634
128,p_F18Jul19_01_R1.csv,FCR,7/18/2019,1,0.1,1,1,0.485865933,0.489451027,0.471748959,0.239470431
133,p_F18Jul19_20_R2.csv,FCR,7/18/2019,20,0.1,2,1,0.502426433,0.656036854,0.227130681,0.335681691
134,p_F18Jul19_30_R1.csv,FCR,7/18/2019,30,0.1,1,1,0.496489565,0.625511429,0.124485285,0.358808742
135,p_F18Jul19_45_R1.csv,FCR,7/18/2019,45,0.1,1,1,0.497417477,0.61156515,0.263536141,0.309355332
137,p_F18Jul19_Surf_R1.csv,FCR,7/18/2019,50,0.1,1,1,0.53817717,0.726685434,0.303057523,0.370743451
136,p_F18Jul19_99_R1.csv,FCR,7/18/2019,99,0.1,1,1,0.505216942,0.364650132,0.411669723,0.078379668
129,p_F18Jul19_100_R2.csv,FCR,7/18/2019,100,0.1,2,1,0.487242782,0.385057965,0.047865114,0.090830293
130,p_F18Jul19_101_R2.csv,FCR,7/18/2019,101,0.1,2,1,0.52370336,0.348308657,0.100138104,0.092827587
131,p_F18Jul19_102_R2.csv,FCR,7/18/2019,102,0.1,2,1,0.132862503,0.011752214,0.431433296,0.00124503
132,p_F18Jul19_200_R1.csv,FCR,7/18/2019,200,0.1,1,1,1.07647463,0.861723502,0.732013264,0.124248712
180,p_F22Jul19_0.1mR1_Dil.csv,FCR,7/22/2019,50,0.1,1,2,0.538679703,0.890171494,0.121307491,0.612373075
181,p_F22Jul19_5mR2.csv,FCR,7/22/2019,50,5,2,1,0.446652689,0.60975032,0.31618869,0.242348748
182,p_F22Jul19_9mR2_Dil.csv,FCR,7/22/2019,50,9,2,2,0.625541491,0.766331838,0.884805603,0.281508511
